0,Discovery Youth Soccer League,East,https://www.dysl.org/Default.aspx?tabid=1231397&mid=1285583&newskeyid=HN1&ctl=viewallnews,2300 Hitzert Ct,Fenton,MO,63026
1,026 Futbol Club,East,https://www.026futbolclub.com/,NA,St Charles,MO,63303
2,026 Futbol Club,East,https://www.026futbolclub.com/,NA,St Charles,MO,63303
3,St. Louis Stars SC,East,https://stlstars.club/,3810 Paule Ave.,St. Louis,MO,63125
4,NORCO Soccer Club,East,http://www.norcosoccerclub.com/,357 Huntleigh Manor Dr,St Charles,MO,63303
5,Flyers Soccer Club,East,https://www.facebook.com/p/Flyers-Soccer-Club-100086381261227/,9350 Sappington Rd,St. Louis,MO,63126
6,St. Louis Legends SC,East,https://www.legendsstlouis.com/,400 Trade Center DriveÂ ,Saint Peters,MO,
7,Discovery Youth Soccer League,East,https://www.dysl.org/Default.aspx?tabid=1231397&mid=1285583&newskeyid=HN1&ctl=viewallnews,2300 Hitzert Ct,Fenton,MO,63026
8,NORCO Soccer Club,East,http://www.norcosoccerclub.com/,357 Huntleigh Manor Dr,St Charles,MO,63303
9,NORCO Soccer Club,East,http://www.norcosoccerclub.com/,357 Huntleigh Manor Dr,St Charles,MO,63303
10,St. Louis Stars SC,East,https://stlstars.club/,3810 Paule Ave.,St. Louis,MO,63125
11,St. Louis Stars SC,East,https://stlstars.club/,3810 Paule Ave.,St. Louis,MO,63125
12,NORCO Soccer Club,East,http://www.norcosoccerclub.com/,357 Huntleigh Manor Dr,St Charles,MO,63303
13,Mineral Area Soccer Club,East,https://www.facebook.com/MineralAreaSoccerClub/,907 W Liberty,Farmington,MO,63640
14,Discovery Youth Soccer League,East,https://www.dysl.org/Default.aspx?tabid=1231397&mid=1285583&newskeyid=HN1&ctl=viewallnews,2300 Hitzert Ct,Fenton,MO,63026
15,SPENSA,East,https://spensa.org/,PO Box 510265,St. Louis,MO,63151
16,Ittihad Soccer Club,East,https://ittihadsoccer.com/,NA,Chesterfield,MO,63017
17,SPENSA,East,https://spensa.org/,PO Box 510265,St. Louis,MO,63151
18,Flyers Soccer Club,East,https://www.facebook.com/p/Flyers-Soccer-Club-100086381261227/,9350 Sappington Rd,St. Louis,MO,63126
19,Cottleville United,East,https://cottlevilleunited.com/,5850 State Rte N,Cottleville,MO,63304
20,Cottleville United,East,https://cottlevilleunited.com/,5850 State Rte N,Cottleville,MO,63304
21,Cottleville United,East,https://cottlevilleunited.com/,5850 State Rte N,Cottleville,MO,63304
22,Cottleville United,East,https://cottlevilleunited.com/,5850 State Rte N,Cottleville,MO,63304
23,Cottleville United,East,https://cottlevilleunited.com/,5850 State Rte N,Cottleville,MO,63304
24,Discovery Youth Soccer League,East,https://www.dysl.org/Default.aspx?tabid=1231397&mid=1285583&newskeyid=HN1&ctl=viewallnews,2300 Hitzert Ct,Fenton,MO,63026
25,Discovery Youth Soccer League,East,https://www.dysl.org/Default.aspx?tabid=1231397&mid=1285583&newskeyid=HN1&ctl=viewallnews,2300 Hitzert Ct,Fenton,MO,63026
26,CarShield FC,East,https://carshieldfc.com/,45 Huntleigh Park Ct,Wentzville,MO,63348
27,Washington Soccer Academy,East,https://washmosoccer.com/,1351 Jefferson Street Suite 120,Washington,MO,63090
28,SPENSA,East,https://spensa.org/,PO Box 510265,St. Louis,MO,63151
29,SPENSA,East,https://spensa.org/,PO Box 510265,St. Louis,MO,63151
30,Discovery Youth Soccer League,East,https://www.dysl.org/Default.aspx?tabid=1231397&mid=1285583&newskeyid=HN1&ctl=viewallnews,2300 Hitzert Ct,Fenton,MO,63026
31,Discovery Youth Soccer League,East,https://www.dysl.org/Default.aspx?tabid=1231397&mid=1285583&newskeyid=HN1&ctl=viewallnews,2300 Hitzert Ct,Fenton,MO,63026
32,Flyers Soccer Club,East,https://www.facebook.com/p/Flyers-Soccer-Club-100086381261227/,9350 Sappington Rd,St. Louis,MO,63126
33,Ittihad Soccer Club,East,https://ittihadsoccer.com/,NA,Chesterfield,MO,63017
34,Ittihad Soccer Club,East,https://ittihadsoccer.com/,NA,Chesterfield,MO,63017
35,Cottleville United,East,https://cottlevilleunited.com/,5850 State Rte N,Cottleville,MO,63304
36,Flyers Soccer Club,East,https://www.facebook.com/p/Flyers-Soccer-Club-100086381261227/,9350 Sappington Rd,St. Louis,MO,63126
37,Flyers Soccer Club,East,https://www.facebook.com/p/Flyers-Soccer-Club-100086381261227/,9350 Sappington Rd,St. Louis,MO,63126
38,United Capital City,Central,https://www.unitedccsoccer.com/,P.O. Box 1001,Jefferson City,MO,65102
39,United Capital City,Central,https://www.unitedccsoccer.com/,P.O. Box 1001,Jefferson City,MO,65102
40,United Capital City,Central,https://www.unitedccsoccer.com/,P.O. Box 1001,Jefferson City,MO,65102
41,Moberly Area SA,Central,https://moberlysoccer.org/,PO Box 415,Moberly,MO,65270
42,Moberly Area SA,Central,https://moberlysoccer.org/,PO Box 415,Moberly,MO,65270
43,Moberly Area SA,Central,https://moberlysoccer.org/,PO Box 415,Moberly,MO,65270
44,Sporting Columbia SC,Central,http://www.sportingcolumbia.net/,PO BOX 7506,Columbia,MO,65205
45,Sporting Columbia SC,Central,http://www.sportingcolumbia.net/,PO BOX 7506,Columbia,MO,65205
46,Sporting Columbia SC,Central,http://www.sportingcolumbia.net/,PO BOX 7506,Columbia,MO,65205
47,Sporting Columbia SC,Central,http://www.sportingcolumbia.net/,PO BOX 7506,Columbia,MO,65205
48,Sporting Columbia SC,Central,http://www.sportingcolumbia.net/,PO BOX 7506,Columbia,MO,65205
49,Sporting Columbia SC,Central,http://www.sportingcolumbia.net/,PO BOX 7506,Columbia,MO,65205
50,Sporting Columbia SC,Central,http://www.sportingcolumbia.net/,PO BOX 7506,Columbia,MO,65205
51,Sporting Columbia SC,Central,http://www.sportingcolumbia.net/,PO BOX 7506,Columbia,MO,65205
52,Sporting Columbia SC,Central,http://www.sportingcolumbia.net/,PO BOX 7506,Columbia,MO,65205
53,Sporting Columbia SC,Central,http://www.sportingcolumbia.net/,PO BOX 7506,Columbia,MO,65205
54,Sporting Columbia SC,Central,http://www.sportingcolumbia.net/,PO BOX 7506,Columbia,MO,65205
55,Sporting Columbia SC,Central,http://www.sportingcolumbia.net/,PO BOX 7506,Columbia,MO,65205
56,Sporting Columbia SC,Central,http://www.sportingcolumbia.net/,PO BOX 7506,Columbia,MO,65205
57,Sporting Columbia SC,Central,http://www.sportingcolumbia.net/,PO BOX 7506,Columbia,MO,65205
58,Sporting Columbia SC,Central,http://www.sportingcolumbia.net/,PO BOX 7506,Columbia,MO,65205
59,Sporting Columbia SC,Central,http://www.sportingcolumbia.net/,PO BOX 7506,Columbia,MO,65205
60,Sporting Columbia SC,Central,http://www.sportingcolumbia.net/,PO BOX 7506,Columbia,MO,65205
61,Sporting Columbia SC,Central,http://www.sportingcolumbia.net/,PO BOX 7506,Columbia,MO,65205
62,Sporting Columbia SC,Central,http://www.sportingcolumbia.net/,PO BOX 7506,Columbia,MO,65205
63,Sporting Columbia SC,Central,http://www.sportingcolumbia.net/,PO BOX 7506,Columbia,MO,65205
64,Sporting Columbia SC,Central,http://www.sportingcolumbia.net/,PO BOX 7506,Columbia,MO,65205
65,Sporting Columbia SC,Central,http://www.sportingcolumbia.net/,PO BOX 7506,Columbia,MO,65205
66,Sporting Columbia SC,Central,http://www.sportingcolumbia.net/,PO BOX 7506,Columbia,MO,65205
67,Sporting Columbia SC,Central,http://www.sportingcolumbia.net/,PO BOX 7506,Columbia,MO,65205
68,Sporting Columbia SC,Central,http://www.sportingcolumbia.net/,PO BOX 7506,Columbia,MO,65205
69,Sporting Columbia SC,Central,http://www.sportingcolumbia.net/,PO BOX 7506,Columbia,MO,65205
70,Revolution FC,West,https://www.facebook.com/ClintonRevolutionFC/,752 SW 501 Rd,Deepwater,MO,64740
71,Harrisonville Soccer Club,West,https://www.harrisonvillesc.com/,NA,Harrisonville,MO,64701
72,United Springfield Academy,South,https://www.unitedspringfieldacademy.com/,2733 E. Battlefield Rd,MO,#289,Springfield
73,Jaguar FC,South,https://www.jaguaracademy.org/,PO Box 4971,Joplin,MO,64804
74,Jaguar FC,South,https://www.jaguaracademy.org/,PO Box 4971,Joplin,MO,64804
75,United Springfield Academy,South,https://www.unitedspringfieldacademy.com/,2733 E. Battlefield Rd,MO,#289,Springfield
76,United Springfield Academy,South,https://www.unitedspringfieldacademy.com/,2733 E. Battlefield Rd,MO,#289,Springfield
77,United Springfield Academy,South,https://www.unitedspringfieldacademy.com/,2733 E. Battlefield Rd,MO,#289,Springfield
78,United Springfield Academy,South,https://www.unitedspringfieldacademy.com/,2733 E. Battlefield Rd,MO,#289,Springfield
79,United Football Academy,South,https://www.unitedfa.org/,1271 Carl Sweeney Parkway,Neosho,MO,64850
