ClubName,URL,City,StateandZip,Tags1,Tags2,Tags3
1. Anacortes Youth Soccer,http://www.skvysa.org/,Anacortes, WA 98221,recreational,,
2. Bainbridge Island FC,http://www.bifc.net/,Bainbridge Island, WA 98110,Select,Recreational,
3. Ballard Youth Soccer Club,http://www.ballardsoccer.org/frameset.php,Seattle, WA 98107,recreational,,
4. Beacon Hill Youth Soccer Club,http://bhys.org/,Seattle, WA 98144,recreational,,
5. Bellevue United FC,http://bellevueunitedfc.org/,Bellevue, WA 98009,Select,Recreational,
6. Benton City,https://washingtonyouthsoccer.org/find-a-club/,Benton City, WA 99320,recreational,premier,
7. Blackhills Football Club,http://www.blackhillsfc.org/,Olympia, WA 98507,Premier,,
8. Blaine Soccer Club,http://whatcomsoccer.com/youth-soccer/wcysa-soccer-clubs/,Blaine, WA 98231,Recreational,,
9. Bremerton Soccer Club,http://www.bremertonsc.org/,Bremerton, WA 98337,Select,Recreational,
10. Burlington Edison Youth Soccer,https://clubs.bluesombrero.com/burlingtonpr,Burlington, WA 98233,recreational,,
11. Capitol Hill Youth Soccer Club,http://www.capitolhillsoccer.org/frameset.php,Capitol Hill, WA 98102,Recreational,,
12. Carnation Soccer Club,http://www.snvysa.org/,Carnation, WA 98014,Recreational,,
13. Cascade FC,http://www.cascadefc.org/,Snoqualmie, WA 98065,Select,,
14. Cascade Foothills Soccer Club,http://www.cascadefoothillssoccer.org/home,Enumclaw, WA 98022,recreational,,
15. Castle Rock/Toutle Lake Soccer Club,http://www.castlerocksoccer.org/,Castle Rock, WA 98611,Recreational,,
16. CDA Timbers-Thorns North FC,http://timbersthornsnorthfc.com/clubsite/?p=12893,Coeur d, ID 83815,Premier,,
17. Central Kitsap Soccer Club,http://www.cksoccer.org/,Silverdale, WA 98383,Select,Recreational,
18. Central Whidbey Soccer Club,https://www.centralwhidbeysoccer.com/,Coupeville, WA 98239,Select,Recreational,
19. Centralia Youth Soccer Club,http://www.centraliayouthsoccer.com/,Centralia, WA 98531,Recreational,,
20. Chehalis Youth Soccer Club,http://www.chehalissoccer.org/,Chehalis, WA 98532,Recreational,,
21. Chinqually Booters Soccer Club,https://www.chinqually.org/home,,WA 98509,recreational,,
22. Columbia Basin YSA (Ephrata),http://www.cbsoccer.com/home.php,Ephrata, WA 98823,Recreational,,
23. Columbia Basin YSA (Moses Lake),http://www.cbsoccer.com/home.php,Moses Lake, WA 98837,Recreational,,
24. Columbia Basin YSA (Othello),http://www.cbsoccer.com/home.php,Othello, WA 99344,Recreational,,
25. Columbia Basin YSA (Quincy),http://www.cbsoccer.com/home.php,Quincy, WA 98848,Recreational,,
26. Columbia Basin YSA (Warden),http://www.cbsoccer.com/home.php,Warden, WA 98857,Recreational,,
27. Conway Youth Soccer,http://www.conwaysoccer.org/home.php,Conway, WA 98238,Recreational,,
28. Crossfire Premier Soccer Club,http://www.crossfiresoccer.org/,Kirkland, WA 98034,Premier,,
29. Crossfire Select Soccer Club,http://www.crossfireselect.org/,Kirkland, WA 98034,Select,,
30. CYSA Timber Barons,http://www.cowlitzyouthsoccer.com/home.php?layout=33237,,,Select,,
31. Duvall Soccer Club,http://www.snvysa.org/,Duvall, WA 98019,Recreational,,
32. Eastside Football Club,http://www.eastsidefc.org/,Preston, WA 98006,Premier,,
33. Eastside Soccer Club,http://whatcomsoccer.com/youth-soccer/wcysa-soccer-clubs/,Bellingham, WA 98228,Recreational,,
34. Elma McCleary Youth Soccer Club,http://www.emysc.org/sites/emysc/home,Elma, WA 98541,Recreational,,
35. Everett Youth Soccer Club,http://www.everettyouthsoccerclub.org/,Everett, WA 98213,Select,Recreational,
36. Fall City Soccer Club,http://www.snvysa.org/,Fall City, WA 98024,Recreational,,
37. Federal Way Football Club,http://www.federalwayfc.com/,Federal Way, WA 98093,Premier,Select,Recreational
38. Federal Way Mod Soccer Club,http://www.federalwaysoccer.com/fwmsc,Federal Way, WA 98093,recreational,,
39. Ferndale Soccer Club,http://whatcomsoccer.com/youth-soccer/wcysa-soccer-clubs/,Ferndale, WA 98248,Recreational,,
40. Fife Milton Edgewood Junior Soccer Club,http://www.fmesoccer.org/,Milton, WA 98354,Select,Recreational,
41. Fircrest Soccer Club,http://www.fircrestsc.org/,Fircrest, WA 98467,Recreational,,
42. Friday Harbor FC,http://www.fridayharborfc.org/,Friday Harbor, WA 98250,Recreational,,
43. Grandview Youth Soccer,https://www.yysa.org/,Grandview, WA 98930,Recreational,,
44. Granite Falls Youth Soccer Club,http://www.gfysc.com/frameset.php,Granite Falls, WA 98252,Recreational,,
45. Harbor Soccer Club,http://www.harborsoccerclub.com/,Gig Harbor, WA 98335,Premier,Recreational,
46. Harbor Youth Soccer Club,http://www.harborsoccer.com/,Aberdeen, WA 98520,Recreational,,
47. Highline Soccer Club,http://www.highlinesoccerclub.com/,Burien, WA 98148,Select,Recreational,
48. Hillwood Youth Soccer Club,http://www.hillwoodsoccer.com/,Shoreline, WA 98160,recreational,,
49. HSA Select,http://www.highlinesa.org/HSA_Select,Des Moines, WA 98198,select,,
50. Irish Soccer Club,http://www.irishsoccer.org/,Everett, WA 98206,Select,Recreational,
51. Issaquah FC,http://www.issaquahfc.org/,Issaquah, WA 98027,Select,Recreational,
52. Jefferson County Soccer Club,http://www.jcsoccerclub.org/,Port Townsend, WA 98368,Recreational,,
53. Kalama Youth Soccer Club,http://www.cowlitzyouthsoccer.com/kalama,Kalama, WA 98625,recreational,,
54. Kelso Soccer Club,http://www.castlerocksoccer.org/kelso,Kelso, WA 98626,Recreational,,
55. Kitsap Alliance FC,http://kitsapalliancefc.com/,Silverdale, WA 98383,Premier,,
56. Kittitas Valley Junior Soccer,https://www.kvjsa.com/,County, WA 98934,Recreational,Select,
57. La Conner Youth Soccer,http://www.laconneryouthsoccer.com/home.php,Conner+WA+98257 La Conner, WA 98257,recreational,,
58. Lake City Soccer Club,http://www.lkcitysoccer.org/home.php,Seattle, WA 98125,Recreational,,
59. Lake Hills Soccer Club,http://www.lakehillssoccer.org/,Bellevue, WA 98007,Select,Recreational,
60. Lake Stevens Youth Soccer Club,http://www.lakestevenssoccer.com/,Lake Stevens, WA 98258,Select,Recreational,
61. Lake Washington YSA (Eastlake),http://www.lwysa.org/frameset.php,Sammamish, WA 98074,Recreational,,
62. Lake Washington YSA (Juanita),http://www.lwysa.org/frameset.php,Juanita, WA 98033,Recreational,,
63. Lake Washington YSA (Kirkland),http://www.lwysa.org/frameset.php,Kirkland, WA 98033,Recreational,,
64. Lake Washington YSA (Redmond),http://www.lwysa.org/frameset.php,Redmond, WA 98052,Recreational,,
65. Lake Washington YSA (Union Hill),http://www.lwysa.org/frameset.php,Redmond, WA 98053,Recreational,,
66. Lakeside Soccer Club,http://whatcomsoccer.com/youth-soccer/wcysa-soccer-clubs/,Bellingham, WA 98228,Recreational,,
67. Lakewood-Steilacoom-Dupont Soccer Club,http://tshq.bluesombrero.com/LSDSC,Lakewood, WA 98497,Select,Recreational,
68. Laurelhurst-View Ridge-Ravenna Soccer Club,http://www.lvr-soccer.org/frameset.php,Seattle, WA 98115,recreational,,
69. Liga Tlaxtli,http://www.skvysa.org/home.php,,,recreational,,
70. Longview Soccer Club,http://www.longviewsoccerclub.org/,Longview, WA 98632,Recreational,,
71. Lynden Action Soccer Club,http://whatcomsoccer.com/youth-soccer/wcysa-soccer-clubs/,Lynden, WA 98264,Recreational,,
72. Magnolia Soccer Club,http://www.magnoliasoccer.org/,Seattle, WA 98199,recreational,,
73. McGilvra Youth Soccer Club,http://www.mcgilvrasoccer.org/,Seattle, WA 98112,recreational,,
74. Mercer Island FC,http://www.mercerislandfc.org/,Mercer Island, WA 98040,Select,Recreational,
75. Meridian Soccer Club,http://whatcomsoccer.com/youth-soccer/wcysa-soccer-clubs/,Ferndale, WA 98248,Recreational,,
76. Montesano Youth Soccer Club,http://www.montesoccer.org/,Montesano, WA 98563,recreational,,
77. Morton/White Pass Soccer,https://lcysa.net/Org/Content.aspx?d=XzwPmPTRDZl%2FFAd6Eb830%2BNprZ6lc0pqWCNXScCMX9E%3D,Morton, WA 98356,recreational,,
78. Mossyrock Youth Soccer Club,http://lcysa.net/sites/lcysa/home,Silver Creek, WA 98585,Recreational,,
79. Mount Vernon Youth Soccer,https://www.mvysa.org/,Mt Vernon, WA 98273,recreational,,
80. Mt. Baker Soccer Club,http://whatcomsoccer.com/youth-soccer/wcysa-soccer-clubs/,Bellingham, WA 98226,Recreational,,
81. Mt. Baker-Lakewood Soccer Club,http://www.mblsoccer.org/,Seattle, WA 98144,Recreational,,
82. Mukilteo Youth Soccer Club,http://www.mysc.org/,Mukilteo, WA 98275,Recreational,,
83. Napavine Youth Soccer Club,http://www.lcysa.net/home,Napavine, WA 98565,recreational,,
84. Neah Bay Soccer Club,https://www.nsysasoccer.org/oysa,Neah Bay, WA 98357,recreational,,
85. Newport Youth Soccer Club,http://newportsoccer.org/,Bellevue, WA 98006,Select,Recreational,
86. Nooksack Soccer Club,http://whatcomsoccer.com/youth-soccer/wcysa-soccer-clubs/,Everson, WA 98247,Recreational,,
87. Norpoint Soccer Club,http://www.norpointsoccer.org/,Tacoma, WA 98422,Select,Recreational,
88. North Bend Soccer Club,http://www.snvysa.org/,North Bend, WA 98045,Recreational,,
89. North Kitsap Soccer Club,http://www.northkitsapsoccer.org/home.php,Poulsbo, WA 98370,recreational,,
90. North Mason Youth Soccer Club,http://www.nmysc.org/,Belfair, WA 98528,Recreational,,
91. North Tacoma Soccer Club,http://www.nortac.org/,Tacoma, WA 98417,Select,Recreational,
92. North Whidbey Soccer Club,http://wys-nwsc.affinitysoccer.com/,Oak Harbor, WA 98277,Select,Recreational,
93. Northshore Select Club,http://www.northshoreselect.org/,Woodinville, WA 98072,Select,,
94. Northshore Youth Soccer,http://www.northshoresoccer.org/,Woodinville, WA 98072,Select,Recreational,
95. Northside Soccer Club,http://whatcomsoccer.com/youth-soccer/wcysa-soccer-clubs/,Bellingham, WA 98225,recreational,,
96. NW United,http://www.nwunited.org/,Mt Vernon, WA 98273,premier,,
97. Ocean Beach Youth Soccer Club,http://www.oceanbeachsoccer.com/home.php,Long Beach, WA 98631,Recreational,,
98. Olympia United Soccer Club,http://www.olyunited.com/home,Olympia, WA 98507,Recreational,,
99. Onalaska Youth Soccer Club,http://www.onysoccer.com/,Onalaska, WA 98570,Recreational,,
100. Pacific NW Soccer Club,http://www.pacificnorthwestsoccerclub.org/,Tukwila, WA 98188,Premier,,
101. Pacific Soccer Club,http://www.pacificsc.com/,Brush Prairie, WA 98606,Select,Recreational,
102. Pilchuck Soccer Alliance,http://www.pilchucksocceralliance.com/,Marysville, WA 98270,Select,Recreational,
103. Port Angeles Youth Soccer Club,http://www.paysc.com/,Port Angeles, WA 98362,Recreational,,
104. Prairie Soccer Club (Yelm),http://yelmpsc.org/,Yelm, WA 98597,Recreational,,
105. Prosser Youth Soccer,https://www.yysa.org/,Prosser, WA 99350,Recreational,,
106. Queen Anne Soccer Club,http://www.qasoccer.org/,Seattle, WA 98109,Recreational,,
107. Rainier Clatskanie Soccer Club,http://www.cowlitzyouthsoccer.com/home.php?layout=33236,Rainier, OR 97048,Recreational,,
108. Rainier Clatskanie Youth Soccer Club,https://washingtonyouthsoccer.org/find-a-club/,Clatskanie, WA 97048,recreational,,
109. Rainier Soccer Alliance,https://www.rsasoccer.org/,Puyallup, WA 97373,Recreational,Select,
110. Rochester Youth Soccer Club,http://www.rochesteryouthsoccer.org/Org/Home.aspx?d=wLvFm5vHm8B5LEJicY9CmQ%3d%3d,Rochester, WA 98579,Recreational,,
111. Salmon Creek Soccer Club,http://www.salmoncreeksoccer.net/,Vancouver, WA 98685,Select,Recreational,
112. Seattle Cafessa,https://www.seattlecafessa.com/,Tukwila, WA 98168,Select,,
113. Seattle United,http://www.seattleunited.com/,Seattle, WA 98108,Premier,Select,
114. Sedro-Woolley Soccer Club,http://www.skvysa.org/home.php,Sedro-Wooley, WA 98284,recreational,,
115. Sequim Junior Soccer Club,http://www.sequimjuniorsoccer.com/,Sequim, WA 98382,Recreational,,
116. Shorelake Soccer Club,https://shorelake.org/,Shoreline, WA 98155,Recreational,,
117. Silver Lake Youth Soccer Club,http://www.silverlakesoccerclub.com/,Mill Creek, WA 98082,Recreational,,
118. Sky River Soccer Club,http://www.skyriversoccer.net/frameset.php,Monroe, WA 98272,Select,Recreational,
119. Sno-King Soccer Club,http://www.skyc.net/soccer,Edmonds, WA 98020,recreational,,
120. Snohomish Youth Soccer Club,http://www.snohomishyouthsoccer.org/,Snohomish, WA 98290,Premier,Recreational,
121. Snoqualmie Soccer Club,http://www.snvysa.org/,Snoqualmie, WA 98065,Recreational,,
122. Sound Football Club,https://soundfc.org/,Bothell, WA 98011,Premier,Select,Recreational
123. South Kitsap Soccer Club,http://www.sksoccer.com/,Port Orchard, WA 98366,recreational,,
124. South Mason Youth Soccer Club,http://www.smysc.org/,Shelton, WA 98584,Recreational,,
125. South Tacoma Soccer Club,http://www.stsoccer.org/,Tacoma, WA 98411,Select,Recreational,
126. South Whidbey Youth Soccer Club,http://www.swysc.com/,Clinton, WA 98236,Select,Recreational,
127. Southlake Soccer,http://www.southlakeselect.org/home.php,Renton/Tukwila, WA 98188,Select,Recreational,
128. Southside Soccer Club,http://www.thesouthsidesoccerclub.org/,Bellingham, WA 98227,Recreational,,
129. SOZO FC,https://www.yysa.org/,,WA 98903,Recreational,Select,Premier
130. Spokane Shadow Youth Soccer Club,http://www.spokanesoccerclubshadow.org/,Spokane, WA 99228,Premier,Select,
131. Spokane Youth Sports Association - Soccer,http://www.sysa.com/soccer/,Spokane, WA 99201,Recreational,,
132. Stanwood Camano Soccer Club,http://www.skvysa.org/home.php,Stanwood, WA 98292,recreational,,
133. Storm King Soccer Club,http://www.stormkingsoccer.com/,Port Angeles, WA 98362,Select,Recreational,
134. Sunnyside Soccer Club,https://www.yysa.org/Default.aspx?tabid=1874777,Sunnyside, WA 98944,recreational,,
135. Tenino Youth Soccer Club,http://www.teninoyouthsoccer.org/,Tenino, WA 98589,recreational,,
136. Terrace Brier Soccer Club,http://terrace-brier.org/,Mountlake Terrace, WA 98043,Select,Recreational,
137. Three Rivers Soccer Club,http://www.3rsc.org/,Pasco, WA 99302,Premier,Select,Recreational
138. Toledo Youth Soccer Club,http://lcysa.net/Org/Home.aspx?d=2eRW1wwXz8%2bCr8U4VTdd8g%3d%3d,Toledo, WA 98691,Recreational,,
139. Tracyton Soccer Club,http://www.tracytonsoccer.com/,Tracyton, WA 98393,Select,Recreational,
140. Tumwater Soccer Club,http://www.tumwatersoccerclub.org/,Tumwater, WA 98511,Recreational,,
141. University Place Soccer Club,http://www.upsc.org/,University Place, WA 98464,Select,Recreational,
142. Valor Soccer Club (Kent),https://www.valorsoccer.com/,Kent, WA 98064,Premier,Select,Recreational
143. Valor Soccer Club (MvP),https://www.valorsoccer.com/,Maple Valley, WA 98038,Premier,Select,Recreational
144. Vancouver West,http://www.eisenhowersoccer.org/,Vancouver, WA 98665,Select,Recreational,
145. Vashon Island Soccer Club,http://www.vashonsoccer.org/,Vashon, WA 98070,Recreational,,
146. Washington Premier Football Club,http://www.washingtonpremierfc.com/,Puyallup, WA 98372,Premier,,
147. Washington Rush,http://www.washingtonrush.com/,Everett, WA 98108,Premier,Select,
148. Washington Timbers,http://www.washingtontimbers.com/,Vancouver, WA 98684,Premier,,
149. Washington United,https://www.washingtonpremierfc.com/programs/recreational-soccer/,Puyallup, WA 98371,Select,Recreational,
150. West Seattle Soccer Club,http://www.westseattlesoccer.org/frameset.php,Seattle, WA 98116,Select,Recreational,
151. Whatcom Football Club Rangers,https://whatcomfcrangers.org/,Bellingham, WA 98227,Premier,Select,
152. Willapa Harbor Youth Soccer Club,http://www.whysc.org/,Willapa Harbor, WA 98577,Recreational,,
153. Winlock Youth Soccer Club,http://lcysa.net/Org/Home.aspx?d=2eRW1wwXz8%2bCr8U4VTdd8g%3d%3d,Winlock, WA 98596,Recreational,,
154. Woodland Soccer Club,http://www.woodlandsoccer.org/,Seattle, WA 98103,Recreational,,
